SSE:600012,1
SSE:600033,1
SSE:600241,1
SSE:600710,1
SSE:600858,1
SSE:600865,1
SSE:600988,1
SSE:601658,1
SSE:601919,1
SSE:603066,1
SSE:603226,1
SSE:603239,1
SSE:603535,1
SSE:603696,1
SSE:603990,1
SSE:605122,1
SSE:605155,1
SSE:605180,1
SZSE:000421,1
SZSE:000708,1
SZSE:000811,1
SZSE:000902,1
SZSE:001239,1
SZSE:001269,1
SZSE:001323,1
SZSE:001336,1
SZSE:002062,1
SZSE:002091,1
SZSE:002104,1
SZSE:002205,1
SZSE:002293,1
SZSE:002348,1
SZSE:002434,1
SZSE:002495,1
SZSE:002510,1
SZSE:002696,1
SZSE:002698,1
SZSE:002721,1
SZSE:301006,1
SZSE:301008,1
SZSE:301037,1
SZSE:301072,1
SZSE:301117,1
SZSE:301155,1
SZSE:301336,1
SZSE:301358,1
SZSE:301359,1
SZSE:301365,1
SZSE:301372,1
SZSE:301511,1
